-;Наименование полное;Метка;Оригинальный номер;Номер производителя;Фирма производитель;Склад / раздел;Количество;Остаток;Резерв;Доступно;опт интернет
False;Фильтр салонa ВАЗ 1118, 2190 Фильтр-Сервис;;1118-8122010-00;VF018n;Фильтр-сервис;Склад Новые Баня / Склад ВСЕ старый НОВЫЕ;0;1;0;1;404,5
False;Домкрат ромбический 1,3 т 100-400 мм универсальный с резинкой Ульяновск;;УРД-06;УРД-06;Ульяновск;Склад Новые Баня / Склад ВСЕ старый НОВЫЕ;0;1;0;1;1836,27
False;Фонарь задний правый светодиодный Lada Largus  ТюнАвто;;8200414581-10;8200414581-10;ТюнАвто;Склад бу;0;1;0;1;1000
False;Втулка стабилизатора полиуретановая подвески передней правая/левая Cobalt T250 13-15 Точка Опоры;;94733258;14013886;ТОЧКА ОПОРЫ;Склад Новые Баня / Склад ВСЕ старый НОВЫЕ;0;2;0;2;817,5
False;Замок двери (центральный) ВАЗ 21093 5 контактов Тольятти;;91458v;91458v;Тольятти;Склад Новые Баня / Склад ВСЕ старый НОВЫЕ;0;2;1;1;511,6
False;Кнопка-концевик багажника, двери (универсальная) Тольятти;;6314v;6314v;Тольятти;Склад Новые Баня / Склад ВСЕ старый НОВЫЕ;0;2;0;2;81
False;Крышка бачка расширительного ВАЗ 2101-07 пластмассовая Тольятти;;2229v;2229v;Тольятти;Склад Новые Баня / Склад ВСЕ старый НОВЫЕ;0;1;0;1;21,52
False;Крышка расширительного бачка ВАЗ 2101-07 пластмассовая Тольятти;;21011311065;21011311065;Тольятти;Склад Новые Баня / Склад ВСЕ старый НОВЫЕ;0;1;0;1;23,8
False;Наконечник топливной трубки ВАЗ 1118 г-образный Тольятти;;11181104410;11181104410;Тольятти;Склад Новые Баня / Склад ВСЕ старый НОВЫЕ;0;2;0;2;132,2
False;Наконечник топливной трубки ВАЗ 1118 двойной V-образный Тольятти;;1118110441041;1118110441041;Тольятти;Склад Новые Баня / Склад ВСЕ старый НОВЫЕ;0;1;0;1;132,2
False;Наконечник топливной трубки ВАЗ 1118 двойной угол Тольятти;;1118110441030;1118110441030;Тольятти;Склад Новые Баня / Склад ВСЕ старый НОВЫЕ;0;2;0;2;132,2
False;Наконечник топливной трубки ВАЗ 1118 прямой Тольятти;;11181104410;11181104410;Тольятти;Склад Новые Баня / Склад ВСЕ старый НОВЫЕ;0;2;0;2;132,2
False;Переключатель поворотов Largus, Logan Тольятти;;901057662;901057662;Тольятти;Склад Новые Баня / Склад ВСЕ старый НОВЫЕ;0;1;0;1;2108,17
False;Подшипник ступицы передней ВАЗ 2108 Тольятти;;21080-310302001;256907;Тольятти;Склад Новые Баня / Склад ВСЕ старый НОВЫЕ;0;1;0;1;702,8
